Division,District,Upazila,Market,Commodity,Price Type,Year,Lowest Price,Highest Price,Average Price
Khulna,Jhinaidah,Jhenaidah Sadar,Jhenaidah Sadar,Sugar (Imported),Wholesale,2018,"4,936.42","4,956.67","4,946.54"
Khulna,Jhinaidah,Jhenaidah Sadar,Jhenaidah Sadar,Sugar (Imported),Wholesale,2019,"5,168.67","5,187.68","5,178.17"
Khulna,Jhinaidah,Jhenaidah Sadar,Jhenaidah Sadar,Sugar (Imported),Wholesale,2020,"5,829.26","5,854.98","5,842.12"
Chittagong,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,Sugar (Imported),Retail,2018,57.5,59.66,58.58
Chittagong,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,Sugar (Imported),Retail,2019,57.57,62.36,59.96
Chittagong,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,Sugar (Imported),Retail,2020,61.4,66.4,63.9
Chittagong,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,Sugar (Imported),Wholesale,2018,"5,487.55","5,587.55","5,537.55"
Chittagong,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,Sugar (Imported),Wholesale,2019,"5,416.72","5,607.87","5,512.30"
Chittagong,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,Sugar (Imported),Wholesale,2020,"5,769.11","6,254.07","6,011.59"
Dhaka,Kishorgonj,Kishoregonj Sadar,Kishoregonj Sadar,Sugar (Imported),Retail,2020,59.73,61.65,60.69
Dhaka,Kishorgonj,Kishoregonj Sadar,Kishoregonj Sadar,Sugar (Imported),Wholesale,2020,"5,793.33","5,863.14","5,828.24"
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Sugar (Imported),Retail,2018,61.22,64.7,62.96
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Sugar (Imported),Retail,2020,63.36,66.22,64.79
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Sugar (Imported),Wholesale,2018,"5,200.00","5,400.00","5,300.00"
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Sugar (Imported),Wholesale,2020,"6,023.96","6,223.96","6,123.96"
Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,Sugar (Imported),Retail,2018,52.24,53.71,52.98
Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,Sugar (Imported),Retail,2019,53.67,54.85,54.26
Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,Sugar (Imported),Retail,2020,61.53,62.94,62.23
Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,Sugar (Imported),Wholesale,2018,"4,943.93","5,032.44","4,988.18"
Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,Sugar (Imported),Wholesale,2019,"5,141.34","5,198.10","5,169.72"
Khulna,Kushtia,Kushtia Sadar,Kushtia Sadar,Sugar (Imported),Wholesale,2020,"5,849.59","5,916.90","5,883.24"
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Sugar (Imported),Retail,2018,50.4,51.49,50.94
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Sugar (Imported),Retail,2019,51.83,53.02,52.43
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Sugar (Imported),Retail,2020,59.8,61.34,60.57
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Sugar (Imported),Wholesale,2018,"4,876.78","4,927.59","4,902.18"
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Sugar (Imported),Wholesale,2019,"4,996.34","5,036.38","5,016.36"
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Sugar (Imported),Wholesale,2020,"5,715.28","5,756.21","5,735.75"
Chittagong,Laxmipur,Laxmipur Sadar,Laxmipur Sadar,Sugar (Imported),Retail,2018,51.63,52.97,52.3
Chittagong,Laxmipur,Laxmipur Sadar,Laxmipur Sadar,Sugar (Imported),Retail,2019,53.1,54.82,53.96
Chittagong,Laxmipur,Laxmipur Sadar,Laxmipur Sadar,Sugar (Imported),Retail,2020,62.28,63.84,63.06
Chittagong,Laxmipur,Laxmipur Sadar,Laxmipur Sadar,Sugar (Imported),Wholesale,2018,"4,858.66","4,929.12","4,893.89"
Chittagong,Laxmipur,Laxmipur Sadar,Laxmipur Sadar,Sugar (Imported),Wholesale,2019,"5,044.71","5,105.50","5,075.10"
Chittagong,Laxmipur,Laxmipur Sadar,Laxmipur Sadar,Sugar (Imported),Wholesale,2020,"5,863.44","5,914.70","5,889.07"
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Sugar (Imported),Retail,2020,59.68,61.44,60.56
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Sugar (Imported),Wholesale,2020,"5,664.24","5,767.55","5,715.89"
Khulna,Magura,Magura Sadar,Magura Sadar,Sugar (Imported),Retail,2018,53.42,54.89,54.15
Khulna,Magura,Magura Sadar,Magura Sadar,Sugar (Imported),Retail,2019,53.56,54.62,54.09
Khulna,Magura,Magura Sadar,Magura Sadar,Sugar (Imported),Retail,2020,60.55,61.66,61.1
Khulna,Magura,Magura Sadar,Magura Sadar,Sugar (Imported),Wholesale,2018,"5,109.43","5,224.18","5,166.80"
Khulna,Magura,Magura Sadar,Magura Sadar,Sugar (Imported),Wholesale,2019,"5,126.34","5,226.34","5,176.34"
Khulna,Magura,Magura Sadar,Magura Sadar,Sugar (Imported),Wholesale,2020,"5,738.37","5,855.92","5,797.14"
Dhaka,Manikgonj,Manikganj Sadar,Manikganj Sadar,Sugar (Imported),Retail,2018,52.16,54.1,53.13
Dhaka,Manikgonj,Manikganj Sadar,Manikganj Sadar,Sugar (Imported),Retail,2019,54.83,56.99,55.91
Dhaka,Manikgonj,Manikganj Sadar,Manikganj Sadar,Sugar (Imported),Retail,2020,61.18,62.95,62.06
Dhaka,Manikgonj,Manikganj Sadar,Manikganj Sadar,Sugar (Imported),Wholesale,2018,"5,049.79","5,190.53","5,120.16"
Dhaka,Manikgonj,Manikganj Sadar,Manikganj Sadar,Sugar (Imported),Wholesale,2019,"5,296.68","5,472.51","5,384.59"
Dhaka,Manikgonj,Manikganj Sadar,Manikganj Sadar,Sugar (Imported),Wholesale,2020,"5,839.91","5,984.69","5,912.30"
Sylhet,Maulavibazar,Maulavibazar Sadar,Maulavibazar Sadar,Sugar (Imported),Retail,2018,51.45,53.16,52.31
Sylhet,Maulavibazar,Maulavibazar Sadar,Maulavibazar Sadar,Sugar (Imported),Retail,2019,54.82,56.57,55.69
Sylhet,Maulavibazar,Maulavibazar Sadar,Maulavibazar Sadar,Sugar (Imported),Retail,2020,61.38,62.92,62.15
Sylhet,Maulavibazar,Maulavibazar Sadar,Maulavibazar Sadar,Sugar (Imported),Wholesale,2018,"4,918.70","4,946.32","4,932.51"
Sylhet,Maulavibazar,Maulavibazar Sadar,Maulavibazar Sadar,Sugar (Imported),Wholesale,2019,"5,233.31","5,271.54","5,252.43"
Sylhet,Maulavibazar,Maulavibazar Sadar,Maulavibazar Sadar,Sugar (Imported),Wholesale,2020,"5,810.35","5,851.15","5,830.75"
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Sugar (Imported),Retail,2018,51.64,53.5,52.57
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Sugar (Imported),Retail,2019,52.82,54.64,53.73
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Sugar (Imported),Retail,2020,59.91,61.56,60.74
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Sugar (Imported),Wholesale,2018,"4,939.18","5,114.29","5,026.73"
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Sugar (Imported),Wholesale,2019,"5,075.82","5,261.10","5,168.46"
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Sugar (Imported),Wholesale,2020,"5,782.45","5,945.71","5,864.08"
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Sugar (Imported),Retail,2018,52.62,54.25,53.43
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Sugar (Imported),Retail,2019,48.76,50.76,49.76
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Sugar (Imported),Wholesale,2018,"5,035.39","5,165.64","5,100.51"
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Sugar (Imported),Wholesale,2019,"4,637.21","4,737.21","4,687.21"
Khulna,Narail,Narail Sadar,Narail Sadar,Sugar (Imported),Retail,2018,53.96,55.87,54.91
Khulna,Narail,Narail Sadar,Narail Sadar,Sugar (Imported),Retail,2019,54.32,56.31,55.32
Khulna,Narail,Narail Sadar,Narail Sadar,Sugar (Imported),Retail,2020,60.78,62.45,61.61
Khulna,Narail,Narail Sadar,Narail Sadar,Sugar (Imported),Wholesale,2018,"5,143.78","5,251.61","5,197.69"
Khulna,Narail,Narail Sadar,Narail Sadar,Sugar (Imported),Wholesale,2019,"5,186.49","5,266.49","5,226.49"
Khulna,Narail,Narail Sadar,Narail Sadar,Sugar (Imported),Wholesale,2020,"5,783.28","5,947.72","5,865.50"
Rajshahi,Nawabgonj,Nawabgonj Sadar,Nawabgonj Sadar,Sugar (Imported),Retail,2020,56.73,57.73,57.23
Rajshahi,Nawabgonj,Nawabgonj Sadar,Nawabgonj Sadar,Sugar (Imported),Wholesale,2020,"5,510.30","5,536.36","5,523.33"
Rangpur,Nilphamari,Nilpamari Sadar,Nilphamari Sadar,Sugar (Imported),Retail,2018,50.53,51.98,51.25
Rangpur,Nilphamari,Nilpamari Sadar,Nilphamari Sadar,Sugar (Imported),Retail,2019,55.46,56.99,56.22
Rangpur,Nilphamari,Nilpamari Sadar,Nilphamari Sadar,Sugar (Imported),Retail,2020,63.12,64.34,63.73
Rangpur,Nilphamari,Nilpamari Sadar,Nilphamari Sadar,Sugar (Imported),Wholesale,2018,"4,879.49","4,909.24","4,894.36"
Rangpur,Nilphamari,Nilpamari Sadar,Nilphamari Sadar,Sugar (Imported),Wholesale,2019,"5,337.60","5,362.24","5,349.92"
Rangpur,Nilphamari,Nilpamari Sadar,Nilphamari Sadar,Sugar (Imported),Wholesale,2020,"6,056.63","6,077.59","6,067.11"
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Sugar (Imported),Retail,2018,52.44,53.71,53.07
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Sugar (Imported),Retail,2019,53.32,54.92,54.12
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Sugar (Imported),Retail,2020,62.27,63.87,63.07
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Sugar (Imported),Wholesale,2018,"4,938.17","5,011.97","4,975.07"
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Sugar (Imported),Wholesale,2019,"5,014.26","5,099.34","5,056.80"
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Sugar (Imported),Wholesale,2020,"5,812.22","5,844.44","5,828.33"
